id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
41,administrative law,行政法,行政法,ədˈmɪnɪˌstreɪtɪv lɔ,,"1,5,8,9",33,textbook,,
42,tort,侵权行为；侵权；侵权行为法；侵权法,侵权行为；侵权；侵权行为法；侵权法,tɔrt,,"1,2,3,4,5,9,10,11,12,13",38,textbook,,
43,liability insurance,责任保险,责任保险,ˌlaɪəˈbɪlɪti ˌɪnˈʃʊrəns,,1,1,textbook,,
44,damages,损害赔偿,损害赔偿,ˈdæmɪʤɪz,,"1,2,4,9,10,11,12,14",48,textbook,,
45,assault,殴击；威胁,殴击；威胁,əˈsɔlt,,"1,2,10",10,textbook,,
46,double jeopardy,双重危险；一事不再理,双重危险；一事不再理,ˈdəbəl ˈʤɛpərdi,,"1,4,7",7,textbook,,
47,judicial review,司法审查,司法审查,ʤuˈdɪʃəl ˌrivˈju,,"1,3,6,8,13",54,textbook,,
48,establishment clause,政教分离条款；禁止确立国教条款,政教分离条款；禁止确立国教条款；国教条款,ɪˈstæblɪʃmənt klɔz,《元照》：〈美〉政教分离条款。禁止政府确立某种宗教为国教；原“国教条款”简称已删除以避免方向性误解。,"1,5,6",11,textbook,ambiguous_label_cleanup,establishment clause（美）政教分离条款。
49,ordinance,条例,条例,ˈɔrdənəns,,"1,13,14",5,textbook,,
50,statutory law,制定法,制定法,ˈstæʧəˌtɔri lɔ,,"1,6,9",7,textbook,,
51,kill,杀,杀,kɪl,,1,1,textbook,,
52,murder,谋杀；一级谋杀,谋杀；一级谋杀,ˈmərdər,,"1,2,7",20,textbook,,
53,case law,判例法,判例法,keɪs lɔ,,"1,5,6,11",12,textbook,,
54,common law,普通法,普通法,ˈkɑmən lɔ,,"1,2,5,6,7,8,9,11,12,13",93,textbook,,
55,equity,衡平；衡平法,衡平；衡平法,ˈɛkwəti,,"1,11",3,textbook,,
56,common,普通,普通,ˈkɑmən,,1,1,textbook,,
57,rule of precedence,先例规则,先例规则,rul əv ˈprɛsədəns,,1,1,textbook,,
58,caveat emptor,买者自慎,买者自慎,ˈkeɪviˌæt ˈɛmptər,,1,2,textbook,,
59,takings clause,征收条款,征收条款,ˈteɪkɪŋz klɔz,,"1,9",9,textbook,,
60,trespass,非法侵入；侵入,非法侵入；侵入,ˈtrɛˌspæs,,"1,7,10",7,textbook,,
61,tax-exempt,免税,免税,,,1,9,textbook,,
62,charitable deduction,慈善捐赠扣除,慈善捐赠扣除,ˈʧɛrətəbəl dɪˈdəkʃən,,1,2,textbook,,
63,IRS,国内税务署,国内税务署,ˈaɪˌɑˈrɛs,,1,1,textbook,,
64,revenue ruling,税收裁定,税收裁定,ˈrɛvəˌnu ˈrulɪŋ,,1,5,textbook,,
65,free exercise clause,宗教活动自由条款；信教自由条款,宗教活动自由条款；信教自由条款,fri ˈɛksərˌsaɪz klɔz,,"1,2,6",5,textbook,,
66,free exercise,宗教活动自由,宗教活动自由,fri ˈɛksərˌsaɪz,,1,1,textbook,,
67,tort law,侵权法,侵权法,tɔrt lɔ,,"2,10,11",17,textbook,,
68,monetary damages,金钱损害赔偿,金钱损害赔偿,ˈmɑnəˌtɛri ˈdæmɪʤɪz,,"10,11",3,textbook,,
69,negligence,过失,过失,ˈnɛglɪʤəns,,"4,10",33,textbook,,
70,tortfeasor,侵权行为人,侵权行为人,,,10,17,textbook,,
71,strict liability,严格责任,严格责任,strɪkt ˌlaɪəˈbɪlɪti,,10,9,textbook,,
72,product liability,产品责任,产品责任,ˈprɑdəkt ˌlaɪəˈbɪlɪti,,10,4,textbook,,
73,duty of care,注意义务,注意义务,ˈduti əv kɛr,,10,4,textbook,,
74,proximate cause,近因,近因,ˈprɑksəmət kɔz,,"7,10",6,textbook,,
75,prima facie case,初步证据成立的案件；表面证据确凿的案件,初步证据成立的案件；表面证据确凿的案件,ˈprimə ˈfeɪsi keɪs,,"4,10",8,textbook,,
76,reasonably prudent person,合理谨慎之人,合理谨慎之人,ˈrizənəbli ˈprudənt ˈpərsən,,10,1,textbook,,
77,malpractice suit,专业失职之诉；医疗过失诉讼,专业失职之诉；医疗过失诉讼,mælˈpræktɪs sut,,"10,14",3,textbook,,
78,trespassers,侵入者,侵入者,,,10,1,textbook,,
79,breach of duty,违反义务,违反义务,briʧ əv ˈduti,,10,1,textbook,,
80,commission,作为,作为,kəˈmɪʃən,,10,2,textbook,,
81,omission,不作为,不作为,oʊˈmɪʃən,,10,2,textbook,,
82,negligence per se,法律上的当然过失,法律上的当然过失,ˈnɛglɪʤəns pər seɪ,,10,1,textbook,,
83,res ipsa loquitur,事情本身说明,事情本身说明,,,10,1,textbook,,
84,wrongful death suit,不法致死之诉,不法致死之诉,ˈrɔŋfəl dɛθ sut,,10,2,textbook,,
85,negligent,过失,过失,ˈnɛglɪʤənt,,10,2,textbook,,
86,contributory negligence,混合过失,混合过失,kənˈtrɪbjəˌtɔri ˈnɛglɪʤəns,,10,3,textbook,,
87,comparative negligence,比较过失,比较过失,kəmˈpærətɪv ˈnɛglɪʤəns,,"4,10",4,textbook,,
88,assault and battery,威胁与殴击,威胁与殴击,əˈsɔlt ənd ˈbætəri,,10,2,textbook,,
89,false imprisonment,非法拘禁,非法拘禁,fɔls ˌɪmˈprɪzənmənt,,10,4,textbook,,
90,intentional tort,故意侵权行为,故意侵权行为,ˌɪnˈtɛnʃənəl tɔrt,,10,14,textbook,,
91,battery,殴击,殴击,ˈbætəri,,10,7,textbook,,
92,infliction of mental distress,故意施加精神痛苦,故意施加精神痛苦,ˌɪnˈflɪkʃən əv ˈmɛntəl dɪˈstrɛs,,10,1,textbook,,
93,invasion of privacy,隐私侵犯,隐私侵犯,ˌɪnˈveɪʒən əv ˈpraɪvəsi,,10,3,textbook,,
94,privacy,隐私；隐私权,隐私；隐私权,ˈpraɪvəsi,,"10,13",6,textbook,,
95,right to privacy,隐私权,隐私权,raɪt tɪ ˈpraɪvəsi,,"10,12",2,textbook,,
96,false light,虚假形象,虚假形象,fɔls laɪt,,10,2,textbook,,
97,defamation,诽谤,诽谤,ˌdɛfəˈmeɪʃən,,10,8,textbook,,
98,slander,口头诽谤,口头诽谤,sˈlændər,,10,1,textbook,,
99,libel,书面诽谤；诽谤,书面诽谤；诽谤,ˈlaɪbɛl,,"6,10",8,textbook,,
100,public figures,公众人物,公众人物,ˈpəblɪk ˈfɪgjərz,,10,1,textbook,,
101,veggie libel,蔬菜诽谤,蔬菜诽谤,ˈvɛʤi ˈlaɪbɛl,,10,1,textbook,,
102,intentional torts against property,故意侵权行为,故意侵权行为,ˌɪnˈtɛnʃənəl tɔrts əˈgɛnst ˈprɑpərti,,10,1,textbook,,
103,conversion,侵占,侵占,kənˈvərʒən,,10,4,textbook,,
104,nuisance,妨害,妨害,ˈnusəns,,"9,10",9,textbook,,
105,trespass to land,侵入他人土地,侵入他人土地,ˈtrɛˌspæs tɪ lænd,,10,1,textbook,,
106,injunction,禁制令；禁令,禁制令；禁令,ˌɪnˈʤəŋʃən,,"2,5,7,9,10,11,13,14",21,textbook,,
107,trespass to chattel,侵害他人动产,侵害他人动产,ˈtrɛˌspæs tɪ ˈʧætəl,,10,4,textbook,,
108,economic torts,经济侵权,经济侵权,ˌɛkəˈnɑmɪk tɔrts,,10,1,textbook,,
109,unjust enrichment,不当得利,不当得利,ənˈʤəst ɪnˈrɪʧmənt,,10,1,textbook,,
110,unfair competition or interference with commercial or economic relations,不正当竞争或对商业、经济关系的干扰,不正当竞争或对商业、经济关系的干扰,ˌɔnˈfɛr ˌkɑmpəˈtɪʃən ər ˌɪnərˈfɪrəns wɪθ kəˈmərʃəl ər ˌɛkəˈnɑmɪk riˈleɪʃənz,,10,1,textbook,,
111,trademark infringement,商标侵权,商标侵权,ˈtreɪdˌmɑrk ˌɪnˈfrɪnʤmənt,,10,1,textbook,,
112,warranty,担保,担保,ˈwɔrənti,,"10,11,12",12,textbook,,
113,punitive damages,惩罚性损害赔偿；惩罚性赔偿,惩罚性损害赔偿；惩罚性赔偿,ˈpjunətɪv ˈdæmɪʤɪz,,"4,9,10,11,12",10,textbook,,
114,general tort defenses,一般侵权抗辩,一般侵权抗辩,ˈʤɛnərəl tɔrt dɪˈfɛnsɪz,,10,1,textbook,,
115,vicarious liability,替代责任,替代责任,vaɪˈkɛriəs ˌlaɪəˈbɪlɪti,,"10,11",3,textbook,,
116,respondeat superior,雇主转承责任,雇主转承责任,,,10,1,textbook,,
117,negligent torts,过失侵权行为,过失侵权行为,ˈnɛglɪʤənt tɔrts,,10,1,textbook,,
118,sovereign immunity,主权豁免,主权豁免,ˈsɑvrən ˌɪmˈjunɪti,,10,1,textbook,,
119,enforce,强制执行,强制执行,ɛnˈfɔrs,,11,6,textbook,,
120,agreement,协议,协议,əˈgrimənt,,"11,12,13,14",38,textbook,,
121,promise,允诺,允诺,ˈprɑməs,,"11,12",12,textbook,,
122,remedy,救济,救济,ˈrɛmədi,,"2,5,9,11",33,textbook,,
123,performance,履行,履行,pərˈfɔrməns,,11,1,textbook,,
124,duty,义务,义务,ˈduti,,11,1,textbook,,
125,implied,默示,默示,ˌɪmˈplaɪd,,11,2,textbook,,
126,specific performance order,特定履行令,特定履行令,spɪˈsɪfɪk pərˈfɔrməns ˈɔrdər,,11,1,textbook,,
127,obligation of contracts,合同义务,合同义务,ˌɑbləˈgeɪʃən əv ˈkɑnˌtrækts,,11,1,textbook,,
128,freedom of contract,契约自由,契约自由,ˈfridəm əv ˈkɑnˌtrækt,,11,2,textbook,,
129,corporation,公司；法人,公司；法人,ˌkɔrpərˈeɪʃən,,"5,11",24,textbook,,
130,employment contract,雇佣合同,雇佣合同,ɪmˈplɔɪmənt ˈkɑnˌtrækt,,11,2,textbook,,
131,workers' compensation,工伤赔偿,工伤赔偿,ˈwərkərz' ˌkɑmpənˈseɪʃən,,11,1,textbook,,
132,administrative agency,行政机关,行政机关,ədˈmɪnɪˌstreɪtɪv ˈeɪʤənsi,,11,2,textbook,,
133,sales,买卖,买卖,seɪlz,,11,2,textbook,,
134,credit,信贷,信贷,ˈkrɛdɪt,,11,1,textbook,,
135,employment,雇佣,雇佣,ɪmˈplɔɪmənt,,11,1,textbook,,
136,commercial transaction,商事交易,商事交易,kəˈmərʃəl trænˈzækʃən,,11,6,textbook,,
137,terms of art,专门术语,专门术语,tərmz əv ɑrt,,11,1,textbook,,
138,express contract,明示合同,明示合同,ɪkˈsprɛs ˈkɑnˌtrækt,,11,2,textbook,,
139,implied contract,默示合同,默示合同,ˌɪmˈplaɪd ˈkɑnˌtrækt,,11,3,textbook,,
140,bilateral contract,双务合同,双务合同,baɪˈlætərəl ˈkɑnˌtrækt,,11,2,textbook,,
141,unilateral contract,单务合同,单务合同,ˌjunəˈlætərəl ˈkɑnˌtrækt,,11,2,textbook,,
142,executory contract,待履行合同,待履行合同,,,11,2,textbook,,
143,executed contract,已履行合同,已履行合同,ˈɛksəˌkjutɪd ˈkɑnˌtrækt,,11,2,textbook,,
144,void contract,无效合同,无效合同,vɔɪd ˈkɑnˌtrækt,,11,2,textbook,,
145,voidable contract,可撤销合同,可撤销合同,,,11,2,textbook,,
146,unenforceable contract,不可强制执行合同,不可强制执行合同,ˌənɛnˈfɔrsəbəl ˈkɑnˌtrækt,,11,2,textbook,,
147,oral contract,口头合同,口头合同,ˈɔrəl ˈkɑnˌtrækt,,11,4,textbook,,
148,written contract,书面合同,书面合同,ˈrɪtən ˈkɑnˌtrækt,,11,4,textbook,,
149,evidence,证据,证据,ˈɛvədəns,,"3,4,11",90,textbook,,
150,offer,要约,要约,ˈɔfər,,11,22,textbook,,
151,void,无效,无效,vɔɪd,,"11,12,13",12,textbook,,
152,voidable,可撤销,可撤销,,,"11,13",6,textbook,,
153,unenforceable,不可强制执行；强制执行；不可执行,不可强制执行；强制执行；不可执行,ˌənɛnˈfɔrsəbəl,,"11,13",6,textbook,,
154,breach of contract,违反合同,违反合同,briʧ əv ˈkɑnˌtrækt,,"3,11",10,textbook,,
155,nullity,自始无效,自始无效,,,11,1,textbook,,
156,disaffirm,撤销,撤销,,,11,2,textbook,,
157,rescind,解除,解除,rɪˈsɪnd,,11,1,textbook,,
158,notary public,公证人,公证人,ˈnoʊtəri ˈpəblɪk,,"11,12",2,textbook,,
159,party,当事人,当事人,ˈpɑrti,,"3,11,13",34,textbook,,
160,legal capacity,行为能力,行为能力,ˈligəl kəˈpæsɪti,,"11,13",8,textbook,,
161,acceptance,承诺,承诺,əkˈsɛptəns,,11,13,textbook,,
162,consent,合意；同意,合意；同意,kənˈsɛnt,,"3,11",2,textbook,,
163,consideration,对价,对价,kənˌsɪdərˈeɪʃən,,"11,12",18,textbook,,
164,obligation,义务,义务,ˌɑbləˈgeɪʃən,,11,1,textbook,,
165,genuine assent,真实合意,真实合意,ˈʤɛnjuˌaɪn əˈsɛnt,,11,2,textbook,,
166,statute of frauds,防止欺诈法；反欺诈法,防止欺诈法；反欺诈法,ˈstæʧut əv frɔdz,,"11,12,13",8,textbook,,
167,legally enforceable,法律强制执行力,法律强制执行力,ˈligəli ɛnˈfɔrsəbəl,,11,1,textbook,,
168,natural person,自然人,自然人,ˈnæʧərəl ˈpərsən,,11,1,textbook,,
169,legal fiction,法律拟制,法律拟制,ˈligəl ˈfɪkʃən,,11,1,textbook,,
170,business transaction,商事交易,商事交易,ˈbɪznɪs trænˈzækʃən,,11,3,textbook,,
171,shareholder,股东,股东,ˈʃɛˌrhoʊldər,,11,8,textbook,,
172,incapacity,行为能力,行为能力,ˌɪnkəˈpæsəti,,11,1,textbook,,
173,infant,未成年人,未成年人,ˈɪnfənt,,11,2,textbook,,
174,minor,未成年人,未成年人,ˈmaɪnər,,11,8,textbook,,
175,necessities,必需品,必需品,nəˈsɛsɪtiz,,11,1,textbook,,
176,contract price,合同价格,合同价格,ˈkɑnˌtrækt praɪs,,11,3,textbook,,
177,emancipation,解放；成年独立,解放；成年独立,ɪˌmænsəˈpeɪʃən,,"11,13",3,textbook,,
178,court order,法院命令,法院命令,kɔrt ˈɔrdər,,"11,12,13",19,textbook,,
179,mental competency,心智能力,心智能力,ˈmɛntəl ˈkɑmpətɪnsi,,11,1,textbook,,
180,capacity,行为能力,行为能力,kəˈpæsɪti,,11,2,textbook,,
181,mental capacity to contract,心智能力,心智能力,ˈmɛntəl kəˈpæsɪti tɪ ˈkɑnˌtrækt,,11,1,textbook,,
182,contractual relationship,合同关系,合同关系,kənˈtrækʧuəl riˈleɪʃənˌʃɪp,,11,2,textbook,,
183,legal capacity to contract,行为能力,行为能力,ˈligəl kəˈpæsɪti tɪ ˈkɑnˌtrækt,,11,1,textbook,,
184,contractual obligation,合同义务,合同义务,kənˈtrækʧuəl ˌɑbləˈgeɪʃən,,11,3,textbook,,
185,competent,行为能力,行为能力,ˈkɑmpətɪnt,,11,1,textbook,,
186,mutual assent,真实合意；合意,真实合意；合意,mˈjuʧuəl əˈsɛnt,,"11,13",13,textbook,,
187,meeting of the minds,意思表示一致,意思表示一致,ˈmitɪŋ əv ðə maɪndz,,11,1,textbook,,
188,mutual agreement,协议,协议,mˈjuʧuəl əˈgrimənt,,11,1,textbook,,
189,objective standard,客观标准,客观标准,əˈbʤɛktɪv ˈstændərd,,11,1,textbook,,
190,subjective intent,主观意图,主观意图,səˈbʤɛktɪv ˌɪnˈtɛnt,,11,1,textbook,,
191,judicial construction,司法解释,司法解释,ʤuˈdɪʃəl kənˈstrəkʃən,,11,1,textbook,,
192,mutual mistake,共同错误,共同错误,mˈjuʧuəl mɪˈsteɪk,,11,1,textbook,,
193,WTC,世贸中心,世贸中心,,,11,1,textbook,,
194,insurance binder,暂保单,暂保单,ˌɪnˈʃʊrəns ˈbaɪndər,,11,1,textbook,,
195,per occurrence,每次事故,每次事故,pər əˈkərəns,,11,3,textbook,,
196,jury,陪审团,陪审团,ˈʤʊri,,"2,3,4,7,11,12,13",84,textbook,,
197,homeowners' insurance,住宅保险,住宅保险,ˈhoʊˌmoʊnərz' ˌɪnˈʃʊrəns,,11,1,textbook,,
198,reasonable person,理性人,理性人,ˈrizənəbəl ˈpərsən,,11,1,textbook,,
199,pension plan,养老金计划,养老金计划,ˈpɛnʃən plæn,,11,1,textbook,,
200,no-cut provision,不得裁减条款,不得裁减条款,,,11,1,textbook,,
201,offeree,受要约人,受要约人,,,11,2,textbook,,
202,offeror,要约人,要约人,,,11,4,textbook,,
203,duress,强迫；胁迫,强迫；胁迫,ˈdʊrɛs,,"7,11,12,13",11,textbook,,
204,undue influence,不当影响,不当影响,ənˈdu ˈɪnfluəns,,"11,12",6,textbook,,
205,fraud,欺诈,欺诈,frɔd,,"11,12,13",12,textbook,,
206,innocent misrepresentation,善意虚假陈述,善意虚假陈述,ˈɪnəsənt mɪsˌrɛprɪzɛnˈteɪʃən,,11,2,textbook,,
207,mistake,错误,错误,mɪˈsteɪk,,11,3,textbook,,
208,gift,赠与,赠与,gɪft,,"11,12,13",9,textbook,,
209,beneficiary,受益人,受益人,ˌbɛnəˈfɪʃiˌɛri,,"11,12",7,textbook,,
210,trustee,受托人,受托人,ˌtrəˈsti,,"11,12",8,textbook,,
211,power of attorney,授权书,授权书,paʊər əv əˈtərni,,"11,12",3,textbook,,
212,fraudulent misrepresentation,欺诈性虚假陈述,欺诈性虚假陈述,ˈfrɔʤələnt mɪsˌrɛprɪzɛnˈteɪʃən,,11,1,textbook,,
213,contractual term,合同条款,合同条款,kənˈtrækʧuəl tərm,,11,5,textbook,,
214,invitation to treat,要约邀请,要约邀请,ˌɪnvɪˈteɪʃən tɪ trit,,11,1,textbook,,
215,hostile takeover,恶意收购,恶意收购,ˈhɑstəl ˈteɪˌkoʊvər,,11,1,textbook,,
216,revocation,撤销,撤销,ˌrɛvəˈkeɪʃən,,11,2,textbook,,
217,retraction,撤回,撤回,riˈtrækʃən,,11,1,textbook,,
218,third-party beneficiary,第三方受益人,第三方受益人,,,11,2,textbook,,
219,third-party beneficiary contract,合同,合同,,,11,1,textbook,,
220,intended beneficiary,预期受益人,预期受益人,ˌɪnˈtɛndɪd ˌbɛnəˈfɪʃiˌɛri,,11,1,textbook,,
221,past consideration,对价,对价,pæst kənˌsɪdərˈeɪʃən,,11,1,textbook,,
222,detriment,损害,损害,ˈdɛtrəmənt,,11,2,textbook,,
223,hole-in-one,一杆进洞,一杆进洞,,,11,1,textbook,,
224,contractual interest,合同利益,合同利益,kənˈtrækʧuəl ˈɪntəˌrɛst,,11,1,textbook,,
225,obligor,债务人；义务人,债务人；义务人,,,"11,13",4,textbook,,
226,assign,转让,转让,əˈsaɪn,,"11,12",4,textbook,,
227,assignment,转让,转让,əˈsaɪnmənt,,11,2,textbook,,
228,not assignable,转让,转让,,,11,1,textbook,,
229,breach of contract suit,违反合同之诉,违反合同之诉,briʧ əv ˈkɑnˌtrækt sut,,11,2,textbook,,
230,contractual duty,合同义务,合同义务,kənˈtrækʧuəl ˈduti,,11,1,textbook,,
231,defense,抗辩,抗辩,dɪˈfɛns,,"5,10,11,13",10,textbook,,
232,repudiation,拒绝履行,拒绝履行,rɪˌpjudiˈeɪʃən,,11,4,textbook,,
233,impossibility of performance,履行不能,履行不能,ˌɪmˌpɔsɪˈbɪlɪti əv pərˈfɔrməns,,11,1,textbook,,
234,repudiate,拒绝履行,拒绝履行,riˈpjudiˌeɪt,,11,1,textbook,,
235,material mistake of fact,重大事实错误,重大事实错误,məˈtɪriəl mɪˈsteɪk əv fækt,,11,1,textbook,,
236,duty to read,阅读义务,阅读义务,ˈduti tɪ rɛd,,11,2,textbook,,
237,warranty term,担保条款,担保条款,ˈwɔrənti tərm,,11,1,textbook,,
238,arbitration,仲裁,仲裁,ˌɑrbɪˈtreɪʃən,,"2,4,11",6,textbook,,
239,class action,集体诉讼；集团诉讼,集体诉讼；集团诉讼,klæs ˈækʃən,,"5,11",4,textbook,,
240,enforceable,强制执行,强制执行,ɛnˈfɔrsəbəl,,11,3,textbook,,
241,nullify,无效,无效,ˈnələˌfaɪ,,11,2,textbook,,
242,tort remedy,救济,救济,tɔrt ˈrɛmədi,,11,1,textbook,,
243,misrepresentation,虚假陈述,虚假陈述,mɪsˌrɛprɪzɛnˈteɪʃən,,11,1,textbook,,
244,remedies for breach of contract,违反合同的救济,违反合同的救济,ˈrɛmədiz fər briʧ əv ˈkɑnˌtrækt,,11,1,textbook,,
245,liquidated damages,约定违约金,约定违约金,ˈlɪkwɪˌdeɪtɪd ˈdæmɪʤɪz,,11,1,textbook,,
246,compensatory damages,补偿性损害赔偿,补偿性损害赔偿,kəmˈpɛnsəˌtɔri ˈdæmɪʤɪz,,11,1,textbook,,
247,breach,违反合同；违反；违约,违反合同；违反；违约,briʧ,,"2,11",7,textbook,,
248,mitigation,减损,减损,ˌmɪtɪˈgeɪʃən,,11,2,textbook,,
249,promissory estoppel,允诺性禁反言,允诺性禁反言,,,11,2,textbook,,
250,promisee,受允诺人,受允诺人,,,11,1,textbook,,
251,promisor,允诺人,允诺人,,,11,3,textbook,,
252,gratuitous promise,允诺,允诺,grəˈtuətəs ˈprɑməs,,11,1,textbook,,
253,deed,契据,契据,did,,"11,12",13,textbook,,
254,specific performance,特定履行,特定履行,spɪˈsɪfɪk pərˈfɔrməns,,"2,11",6,textbook,,
255,rules of construction,解释规则,解释规则,rulz əv kənˈstrəkʃən,,11,1,textbook,,
256,interest in land,土地权益,土地权益,ˈɪntəˌrɛst ɪn lænd,,11,1,textbook,,
257,lien,留置权,留置权,lin,,"11,12,13",13,textbook,,
258,prenuptial agreement,婚前协议,婚前协议,priˈnəpʃəl əˈgrimənt,,"11,13",4,textbook,,
259,surety,保证,保证,ˈʃʊrəti,,11,1,textbook,,
260,executor,遗嘱执行人,遗嘱执行人,ɪgˈzɛkjətər,,"11,12",2,textbook,,
261,"uniform commercial code, UCC",统一商法典,统一商法典,,,11,2,textbook,,
262,uniform electronic transactions act,统一电子交易法,统一电子交易法,ˈjunəˌfɔrm ˌɪˌlɛkˈtrɑnɪk trænˈzækʃənz ækt,,11,1,textbook,,
263,parol evidence rule,口头证据规则,口头证据规则,,,11,4,textbook,,
264,oral agreement,口头协议,口头协议,ˈɔrəl əˈgrimənt,,11,1,textbook,,
265,discovery,证据开示；披露,证据开示；披露,ˌdɪˈskəvri,,"4,5,8,11",17,textbook,,
266,contract suit,合同之诉,合同之诉,ˈkɑnˌtrækt sut,,11,1,textbook,,
267,uniform commercial code,统一商法典,统一商法典,ˈjunəˌfɔrm kəˈmərʃəl koʊd,,11,1,textbook,,
268,"united nations convention for international sale of goods, CISG",联合国国际货物销售合同公约,联合国国际货物销售合同公约,,,11,1,textbook,,
